n,p,base_deg,split_deg,lcm_deg,factor_degs,factor_mults,DFT_order
6,7,1,12,12,"[1, 1, 4, 6]","[(1, 1), (1, 1), (4, 1), (6, 1)]",51600
6,11,2,24*,12,"[1, 2, 2, 3, 4]","[(1, 1), (2, 1), (2, 1), (3, 1), (4, 1)]",166556849760
6,13,1,4,4,"[1, 1, 2, 2, 2, 4]","[(1, 1), (1, 1), (2, 1), (2, 1), (2, 1), (4, 1)]",5712
6,17,2,16*,8,"[4, 8]","[(4, 1), (8, 1)]",12165297968916717120
6,19,1,14,14,"[1, 2, 2, 7]","[(1, 1), (2, 1), (2, 1), (7, 1)]",17877434760
6,23,2,24*,12,"[1, 1, 4, 6]","[(1, 1), (1, 1), (4, 1), (6, 1)]",1022105388384238398240
6,29,2,22*,11,"[1, 11]","[(1, 1), (11, 1)]",49617479514361100813112854859080
6,31,1,12,12,[12],"[(12, 1)]",65638565315712480
6,37,1,10,10,"[2, 10]","[(2, 1), (10, 1)]",4808584372417848
6,41,2,12*,6,"[1, 2, 3, 6]","[(1, 1), (2, 1), (3, 1), (6, 1)]",22563490300366186080
6,43,1,12,12,[12],"[(12, 1)]",6659938466210429400
6,47,2,16*,8,"[4, 8]","[(4, 1), (8, 1)]",566977372488557307219621120
6,53,2,24*,12,"[1, 1, 4, 6]","[(1, 1), (1, 1), (4, 1), (6, 1)]",553752791625345871730876640
6,59,2,56*,28,"[1, 4, 7]","[(1, 1), (4, 1), (7, 1)]",929948058955564230353814413156640
6,61,1,24,24,"[1, 3, 8]","[(1, 1), (3, 1), (8, 1)]",241742921689570080
6,67,1,21,21,"[1, 1, 3, 7]","[(1, 1), (1, 1), (3, 1), (7, 1)]",27618662785452354
6,71,2,16*,8,"[4, 8]","[(4, 1), (8, 1)]",138999207705456676041526823040
6,73,1,11,11,"[1, 11]","[(1, 1), (11, 1)]",313726685568359708376
6,79,1,9,9,"[1, 1, 1, 9]","[(1, 1), (1, 1), (1, 1), (9, 1)]",119851595982618318
6,83,2,16*,8,"[1, 1, 2, 8]","[(1, 1), (1, 1), (2, 1), (8, 1)]",5072820298953863752478356399680
6,89,2,20*,10,"[2, 10]","[(2, 1), (10, 1)]",324099885930283432644894293136280442400
6,97,1,8,8,"[1, 1, 2, 8]","[(1, 1), (1, 1), (2, 1), (8, 1)]",7837433594376960
6,101,2,42*,21,"[1, 1, 3, 7]","[(1, 1), (1, 1), (3, 1), (7, 1)]",398754915015299787669774989913191400
6,103,1,21,21,"[1, 1, 3, 7]","[(1, 1), (1, 1), (3, 1), (7, 1)]",1317563872029652518
6,107,2,22*,11,"[1, 11]","[(1, 1), (11, 1)]",73840029018340440539958583422090329875018908
6,109,1,12,12,"[1, 2, 2, 3, 4]","[(1, 1), (2, 1), (2, 1), (3, 1), (4, 1)]",241803928080
6,113,2,40*,20,"[1, 2, 4, 5]","[(1, 1), (2, 1), (4, 1), (5, 1)]",706787904540122021396192841563520
6,127,1,6,6,"[1, 2, 3, 3, 3]","[(1, 1), (2, 1), (3, 1), (3, 1), (3, 1)]",262192896
6,131,2,56*,28,"[1, 4, 7]","[(1, 1), (4, 1), (7, 1)]",1107697626791587763521196558305841783765040
6,137,2,20*,10,"[1, 1, 10]","[(1, 1), (1, 1), (10, 1)]",2712572455602368268728748355663369328816400
6,139,1,11,11,"[1, 11]","[(1, 1), (11, 1)]",187125428191687357841769
6,149,2,18*,9,"[3, 9]","[(3, 1), (9, 1)]",655122983233773551966633845425687219900
6,151,1,8,8,"[4, 8]","[(4, 1), (8, 1)]",270281038127131200
6,157,1,6,6,"[6, 6]","[(6, 1), (6, 1)]",14976071831448
6,163,1,8,8,"[1, 1, 2, 8]","[(1, 1), (1, 1), (2, 1), (8, 1)]",99662282863624224
6,167,2,60*,30,"[1, 5, 6]","[(1, 1), (5, 1), (6, 1)]",142336079615797429645629197105364284976481680
6,173,2,60*,30,"[1, 5, 6]","[(1, 1), (5, 1), (6, 1)]",9611370598751028195746233172018523859169412
6,179,2,8*,4,"[1, 1, 2, 4, 4]","[(1, 1), (1, 1), (2, 1), (4, 1), (4, 1)]",1053960288888713760
6,181,1,35,35,"[5, 7]","[(5, 1), (7, 1)]",624421298634722904003300
6,191,2,42*,21,"[1, 1, 3, 7]","[(1, 1), (1, 1), (3, 1), (7, 1)]",16349876452966299088471649050114370874240
6,193,1,8,8,"[4, 8]","[(4, 1), (8, 1)]",1925122952918976000
6,197,2,24*,12,"[1, 1, 1, 2, 3, 4]","[(1, 1), (1, 1), (1, 1), (2, 1), (3, 1), (4, 1)]",1708346290494986502039020880
6,199,1,12,12,"[2, 4, 6]","[(2, 1), (4, 1), (6, 1)]",189187407337975200
6,211,1,4,4,"[1, 1, 2, 4, 4]","[(1, 1), (1, 1), (2, 1), (4, 1), (4, 1)]",1982119440
6,223,1,9,9,"[3, 9]","[(3, 1), (9, 1)]",151530919299530871918
6,227,2,36*,18,"[1, 2, 9]","[(1, 1), (2, 1), (9, 1)]",538715520174006316539580773699926672955262992
6,229,1,4,4,"[1, 1, 2, 4, 4]","[(1, 1), (1, 1), (2, 1), (4, 1), (4, 1)]",2750058480
6,233,2,16*,8,"[4, 8]","[(4, 1), (8, 1)]",5804320487051279124159938144538168960
6,239,2,24*,12,"[1, 3, 4, 4]","[(1, 1), (3, 1), (4, 1), (4, 1)]",34736208626866445752806829440
6,241,1,6,6,"[1, 2, 3, 6]","[(1, 1), (2, 1), (3, 1), (6, 1)]",195930594145440
6,251,2,12*,6,"[1, 1, 2, 2, 6]","[(1, 1), (1, 1), (2, 1), (2, 1), (6, 1)]",62529457064557415999535378000
6,257,2,24*,12,"[1, 3, 4, 4]","[(1, 1), (3, 1), (4, 1), (4, 1)]",83024076852635535699725260800
6,263,2,56*,28,"[1, 4, 7]","[(1, 1), (4, 1), (7, 1)]",1253404509642082129427028402700891550576204729760
6,269,2,20*,10,"[2, 10]","[(2, 1), (10, 1)]",3935913995925479174515595985866202397445518875600
6,271,1,12,12,"[1, 1, 1, 2, 3, 4]","[(1, 1), (1, 1), (1, 1), (2, 1), (3, 1), (4, 1)]",132525665974080
6,277,1,28,28,"[1, 4, 7]","[(1, 1), (4, 1), (7, 1)]",133456085444632285316244
6,281,2,36*,18,"[1, 2, 9]","[(1, 1), (2, 1), (9, 1)]",9421756982266455525408304167583420719437947334880
6,283,1,8,8,"[1, 1, 2, 8]","[(1, 1), (1, 1), (2, 1), (8, 1)]",10285644098013205560
6,293,2,60*,30,"[2, 2, 3, 5]","[(2, 1), (2, 1), (3, 1), (5, 1)]",1475237853887255092212767258076978755400
6,307,1,12,12,"[1, 1, 3, 3, 4]","[(1, 1), (1, 1), (3, 1), (3, 1), (4, 1)]",2896337644200
6,311,2,16*,8,"[1, 1, 2, 8]","[(1, 1), (1, 1), (2, 1), (8, 1)]",7658896919533911468080851313500781496960
6,313,1,6,6,"[1, 1, 2, 2, 3, 3]","[(1, 1), (1, 1), (2, 1), (2, 1), (3, 1), (3, 1)]",3209529648
6,317,2,24*,12,"[1, 1, 4, 6]","[(1, 1), (1, 1), (4, 1), (6, 1)]",2599490317936482228618037065292862401080
6,331,1,6,6,"[1, 2, 3, 6]","[(1, 1), (2, 1), (3, 1), (6, 1)]",657563906662740
6,337,1,18,18,"[1, 2, 9]","[(1, 1), (2, 1), (9, 1)]",18948978722363660046000288
6,347,2,22*,11,"[1, 11]","[(1, 1), (11, 1)]",38567230170701382075616189940957347556608791124312472004
6,349,1,12,12,[12],"[(12, 1)]",32651649319817558848111693308
6,353,2,20*,10,"[2, 10]","[(2, 1), (10, 1)]",451298730747090110630625434003290514915009256139200
6,359,2,20*,10,"[2, 10]","[(2, 1), (10, 1)]",1264413055895030909886360374214457441085121121576800
6,367,1,9,9,"[1, 1, 1, 9]","[(1, 1), (1, 1), (1, 1), (9, 1)]",120779875685608537745646
6,373,1,24,24,"[1, 3, 8]","[(1, 1), (3, 1), (8, 1)]",26135102396013623582890320
6,379,1,11,11,"[1, 11]","[(1, 1), (11, 1)]",11587808621129870876525371089
6,383,2,12*,6,"[1, 2, 3, 3, 3]","[(1, 1), (2, 1), (3, 1), (3, 1), (3, 1)]",92602593075827971584
6,389,2,28*,14,"[1, 2, 2, 7]","[(1, 1), (2, 1), (2, 1), (7, 1)]",274913768547015499960526489759947419784080
6,397,1,12,12,[12],"[(12, 1)]",58060684860305624755750256310
6,401,2,24*,12,[12],"[(12, 1)]",371713979236337665976777731527060416377860770017822282562400
6,409,1,6,6,"[6, 6]","[(6, 1), (6, 1)]",4681013008649040
6,419,2,48*,24,"[1, 3, 8]","[(1, 1), (3, 1), (8, 1)]",13907623892195487874502982030128565402071641485201120
6,421,1,12,12,"[2, 4, 6]","[(2, 1), (4, 1), (6, 1)]",986868341158234101840
6,431,2,12*,6,"[1, 2, 3, 6]","[(1, 1), (2, 1), (3, 1), (6, 1)]",41089158014054007099883470298560
6,433,1,10,10,"[2, 10]","[(2, 1), (10, 1)]",77224962985683871762758816
6,439,1,12,12,[12],"[(12, 1)]",8539314180584808989217578448720
6,443,2,48*,24,"[1, 3, 8]","[(1, 1), (3, 1), (8, 1)]",6052693769902990796829717107557082021768701714620000
6,449,2,22*,11,"[1, 11]","[(1, 1), (11, 1)]",22357307601814265938642271563256141434331460856159183017600
6,457,1,14,14,"[1, 1, 1, 2, 7]","[(1, 1), (1, 1), (1, 1), (2, 1), (7, 1)]",1906684686229600159536
6,461,2,12*,6,"[1, 2, 3, 6]","[(1, 1), (2, 1), (3, 1), (6, 1)]",92132128505596173454447158291120
6,463,1,7,7,"[1, 1, 1, 1, 1, 7]","[(1, 1), (1, 1), (1, 1), (1, 1), (1, 1), (7, 1)]",651581728030186338
6,467,2,8*,4,"[1, 1, 2, 4, 4]","[(1, 1), (1, 1), (2, 1), (4, 1), (4, 1)]",2262221077832419710240
6,479,2,84*,42,"[2, 3, 7]","[(2, 1), (3, 1), (7, 1)]",134769866835267743925518017165496698396556882915160960
6,487,1,11,11,"[1, 11]","[(1, 1), (11, 1)]",182721048092538707529395512731
6,491,2,48*,24,"[1, 3, 8]","[(1, 1), (3, 1), (8, 1)]",375102002995404544923348901430705192820707672364840
6,499,1,35,35,"[5, 7]","[(5, 1), (7, 1)]",43509542782934092546714932318
7,3,6,252*,42,"[1, 1, 2, 3, 7]","[(1, 1), (1, 1), (2, 1), (3, 1), (7, 1)]",6072516770218203787116973520
7,5,6,48*,8,"[1, 1, 4, 8]","[(1, 1), (1, 1), (4, 1), (8, 1)]",3552713678800500929355621337890624
7,11,3,180*,60,"[2, 3, 4, 5]","[(2, 1), (3, 1), (4, 1), (5, 1)]",8737825914339652131621869831400
7,13,2,22*,11,"[1, 1, 1, 11]","[(1, 1), (1, 1), (1, 1), (11, 1)]",3211838877954855105157368
7,17,6,72*,12,"[2, 12]","[(2, 1), (12, 1)]",9778277271727357419430505075478309118370138729655579773914565826105359198088995359940640
7,19,6,132*,22,"[1, 2, 11]","[(1, 1), (2, 1), (11, 1)]",58779959455023653900720143731608880435303839331312851319307717721968634910874403799433415880
7,23,3,42*,14,[14],"[(14, 1)]",156520590013777379325514740315331577497462185672283432
7,29,1,14,14,[14],"[(14, 1)]",297558232675799463480
7,31,6,48*,8,"[2, 4, 8]","[(2, 1), (4, 1), (8, 1)]",128303956628775601199117281579217043808044498620795795361610742451002880
7,37,3,90*,30,"[1, 3, 10]","[(1, 1), (3, 1), (10, 1)]",47546591626719821222786934684765146218677071039547332004
7,41,2,28*,14,[14],"[(14, 1)]",34253006561988618792145247196492440122339760
7,43,1,20,20,"[4, 10]","[(4, 1), (10, 1)]",39981242279575858800
7,47,6,132*,22,"[1, 2, 11]","[(1, 1), (2, 1), (11, 1)]",246062692227949090561609063121534895401092379989664136695789913966188317303336697033881084002246130646038581449760328224
7,53,3,72*,24,"[3, 3, 8]","[(3, 1), (3, 1), (8, 1)]",668634864494659421444432468293838381634449583709020
7,59,6,168*,28,"[1, 2, 4, 7]","[(1, 1), (2, 1), (4, 1), (7, 1)]",17828741926013180093318417867416274482146550931825905425356014774586255417130180077521930932688427877287520
7,61,6,420*,70,"[2, 5, 7]","[(2, 1), (5, 1), (7, 1)]",24981590501122716232734721908981285317119120688203481083619529621452697661941789854240340929521434891494310562768458500606875800
7,67,3,90*,30,"[1, 1, 1, 5, 6]","[(1, 1), (1, 1), (1, 1), (5, 1), (6, 1)]",89071058273264279013088507111924705082753857463510946
7,71,1,13,13,"[1, 13]","[(1, 1), (13, 1)]",1165087474585497590531110
7,73,6,120*,20,"[4, 10]","[(4, 1), (10, 1)]",24048870198190152329621277153863338517146174575829381802153325135345853174049610516480379013596458656841944646062287141127442278119200
7,79,3,126*,42,"[1, 6, 7]","[(1, 1), (6, 1), (7, 1)]",68778850405053822749591318674168744442183532120860671070808396959520
7,83,2,72*,36,"[1, 4, 9]","[(1, 1), (4, 1), (9, 1)]",11427132504916089663803480789150956525607300640
7,89,6,72*,12,"[1, 1, 2, 4, 6]","[(1, 1), (1, 1), (2, 1), (4, 1), (6, 1)]",97934728196035042946871736205134177986796649204330154450044715354094061936244802748916961440
7,97,2,56*,28,"[1, 1, 1, 4, 7]","[(1, 1), (1, 1), (1, 1), (4, 1), (7, 1)]",25295448567264694532661592303913313024
7,101,6,180*,30,"[1, 2, 5, 6]","[(1, 1), (2, 1), (5, 1), (6, 1)]",1816696698565801675457742965359137662122911203945095095022783794613151791571683666634546087355916709154001266762413118000
7,103,6,78*,13,"[1, 13]","[(1, 1), (13, 1)]",4883183986383204596958175026537445005114230842611410931068763484706912364417598614009301259653388737515223095552131575217586149334642662007234822752557272
7,107,3,42*,14,[14],"[(14, 1)]",494484058149693853764833277830102921090290807753503354817617241261487528133376488
7,109,3,39*,13,"[1, 13]","[(1, 1), (13, 1)]",4116568814415368770343418592218660671349331467110683218441181574951653544833884
7,113,1,6,6,"[1, 1, 3, 3, 6]","[(1, 1), (1, 1), (3, 1), (3, 1), (6, 1)]",346991958768
7,127,1,70,70,"[2, 5, 7]","[(2, 1), (5, 1), (7, 1)]",17884799508000361014279936
7,131,6,72*,12,"[1, 1, 1, 1, 3, 3, 4]","[(1, 1), (1, 1), (1, 1), (1, 1), (3, 1), (3, 1), (4, 1)]",16663516029969396186839165582722675270961039303604380746659254655538736211360
7,137,3,60*,20,"[4, 10]","[(4, 1), (10, 1)]",10443604835158731168290488469501778484965805056982453567998949250967398643660
7,139,2,24*,12,"[2, 12]","[(2, 1), (12, 1)]",270617081539478226316148041749433387677601430211024
7,149,3,66*,22,"[1, 2, 11]","[(1, 1), (2, 1), (11, 1)]",858372505809989251560338388330166079593418483760880962886367828483985860868300
7,151,3,39*,13,"[1, 13]","[(1, 1), (13, 1)]",3184048612511274877720697003200918753093848456702134675829484216962149916473580684450
7,157,6,108*,18,"[2, 3, 9]","[(2, 1), (3, 1), (9, 1)]",567517351754315110153010565978238703944486559752669123140908364740468704907697450554155623721919983169497617455813157107389287759600
7,163,3,39*,13,"[1, 13]","[(1, 1), (13, 1)]",188502264478395248196124689793622122935752353560109722429812062516686788091824661720426
7,167,2,24*,12,"[1, 1, 2, 3, 3, 4]","[(1, 1), (1, 1), (2, 1), (3, 1), (3, 1), (4, 1)]",470558070431239580152453440
7,173,6,360*,60,"[2, 3, 4, 5]","[(2, 1), (3, 1), (4, 1), (5, 1)]",6185922773868877043453078422512084308659116373669547942322563711535937524614316045087315823301944849608199500195756700918677711750240
7,179,3,126*,42,"[1, 1, 2, 3, 7]","[(1, 1), (1, 1), (2, 1), (3, 1), (7, 1)]",9627889329569515994362206743287723048374325865693714792425985732430
7,181,2,84*,42,"[1, 6, 7]","[(1, 1), (6, 1), (7, 1)]",254769716099081720209632125821675412096164764549346920
7,191,3,120*,40,"[1, 5, 8]","[(1, 1), (5, 1), (8, 1)]",6548944162684599895265992351469417551126221110068135780266031197818638544112326400
7,193,3,36*,12,"[2, 12]","[(2, 1), (12, 1)]",3811475389901970460552044563512236456689128480232572044762495060006923413134278400
7,197,1,40,40,"[1, 5, 8]","[(1, 1), (5, 1), (8, 1)]",1144678732713614554456012320
7,199,6,48*,8,"[1, 1, 4, 8]","[(1, 1), (1, 1), (4, 1), (8, 1)]",6508317789791616818712564591346989749411357474305867922602348601228715389805443020758399484627868879696385600
7,211,1,45,45,"[5, 9]","[(5, 1), (9, 1)]",110063627017946685395015042430
7,223,2,84*,42,"[1, 6, 7]","[(1, 1), (6, 1), (7, 1)]",3267588857576078667890701387980597099464079669496483776
7,227,6,198*,33,"[3, 11]","[(3, 1), (11, 1)]",5888665170852629604786322597971371671960415305956967627423401755897515020750524146572402900936167124632317700653199144801058465923346607432966204014914188045469623159239846239707071768
7,229,6,108*,18,"[2, 3, 9]","[(2, 1), (3, 1), (9, 1)]",1945803340892451175171961142506288428622146563245546886661192694399772047669866458627834866964353503887280106902726893391686025062244899578280
7,233,3,33*,11,"[1, 1, 1, 11]","[(1, 1), (1, 1), (1, 1), (11, 1)]",189516642533001247430058525775739819683895075104746853571866398744155475789016
7,239,1,6,6,"[1, 2, 2, 3, 6]","[(1, 1), (2, 1), (2, 1), (3, 1), (6, 1)]",93187446191280
7,241,6,144*,24,"[1, 2, 3, 8]","[(1, 1), (2, 1), (3, 1), (8, 1)]",20843112046004571976002138962261004635689702537776673500529281162340673287588772097828491407704867936222387157380522438457490629273104783099840
7,251,2,24*,12,"[2, 2, 4, 6]","[(2, 1), (2, 1), (4, 1), (6, 1)]",41364548987646238744281114789783126000
7,257,6,180*,30,"[1, 1, 2, 2, 3, 5]","[(1, 1), (1, 1), (2, 1), (2, 1), (3, 1), (5, 1)]",47510534891995195121403507442114271208828528614806134478953926557359305419349360822094563827497012611711563312051200
7,263,3,180*,60,"[2, 3, 4, 5]","[(2, 1), (3, 1), (4, 1), (5, 1)]",1984460719002275437073983658416663135359954359933126351580590253081774480
7,269,6,84*,14,[14],"[(14, 1)]",1658241747051810505828948941265521735282365173055262997748016272026068583515008485806573248970936443910214988090399240323763493987571716667319042777443922227399223536932742170249768305132347
7,271,6,198*,33,"[3, 11]","[(3, 1), (11, 1)]",155532478070105076085408098239459954931556312544380203472039213239936642947905057237837320583771004644703061940833222096907730367455008140683763389170744367323755282706621534146641293342320
7,277,3,66*,22,"[1, 2, 11]","[(1, 1), (2, 1), (11, 1)]",8497119122749966117930947650150696996602206157246817439749108054209429272087802374395544
7,281,1,45,45,"[5, 9]","[(5, 1), (9, 1)]",68348729693651424725373602620600
7,283,6,168*,28,"[1, 2, 4, 7]","[(1, 1), (2, 1), (4, 1), (7, 1)]",639964871708426901278574377009081561531988686864843303005857198818381354336235854523099502417692902217979652523975768758399272743324334275022346160
7,293,2,60*,30,"[1, 2, 3, 3, 5]","[(1, 1), (2, 1), (3, 1), (3, 1), (5, 1)]",1475237853887255092212767258076978755400
7,307,2,26*,13,"[1, 13]","[(1, 1), (13, 1)]",46301788027092145989912680349353041288862842956233592928809850248
7,311,6,84*,14,[14],"[(14, 1)]",12066296640786420318813705588770833206701878851914203850947487318728412288322370454336953597815098294209580641381767117032026710600058121995923888367503398687171624900370548060431999044389078273420
7,313,6,84*,14,[14],"[(14, 1)]",140156396380575241201416292856031161328728809567687899988351681391869092448384408843655388053815767032832859201699740454657056253012950709994914510655734496597194437792369573127226406260539082340240
7,317,3,210*,70,"[2, 5, 7]","[(2, 1), (5, 1), (7, 1)]",545887904374918574925979514689653095662555499447053899952070032004557697472122522537999892
7,331,3,39*,13,"[1, 13]","[(1, 1), (13, 1)]",62541818162995386473966139559595072036957548564401167424906678992911765245645154650458829039253590
7,337,1,20,20,"[4, 10]","[(4, 1), (10, 1)]",1072834272261996114896429083680
7,347,3,126*,42,"[2, 2, 3, 7]","[(2, 1), (2, 1), (3, 1), (7, 1)]",2316254224953167857685159971981864462501599299349036916320194765730283265016
7,349,2,12*,6,"[1, 1, 2, 2, 2, 6]","[(1, 1), (1, 1), (2, 1), (2, 1), (2, 1), (6, 1)]",3265164931981755884811169330800
7,353,6,240*,40,"[1, 5, 8]","[(1, 1), (5, 1), (8, 1)]",550565233530345170545111199472273405889711933352187876376327009584910085937614011493392304467373944949510928673838749918814338928171439850963713087632628339319290749973184214727516672
7,359,3,72*,24,"[6, 8]","[(6, 1), (8, 1)]",32083289794548156511126822894645109347590898828886086383545709973306293426295856499521175360
7,367,6,60*,10,"[1, 1, 2, 5, 5]","[(1, 1), (1, 1), (2, 1), (5, 1), (5, 1)]",212803277790651250430410607484250228409175062335142576303746385265673932146766569338205184960
7,373,3,15*,5,"[1, 1, 1, 1, 5, 5]","[(1, 1), (1, 1), (1, 1), (1, 1), (5, 1), (5, 1)]",376385147233014237086678919693555955356
7,379,1,36,36,"[1, 4, 9]","[(1, 1), (4, 1), (9, 1)]",3601961498073043506481126704
7,383,6,198*,33,"[3, 11]","[(3, 1), (11, 1)]",3086770702350654782367092314818901720265559294711676634836089985404020336958985761595680448548206922723502497538216855862354685959394162870375666274700462138549892626985718157452679165785037762644055808
7,389,3,60*,20,"[1, 4, 4, 5]","[(1, 1), (4, 1), (4, 1), (5, 1)]",144141965317906704870664449612553683537421035579026421912975120
7,397,6,60*,10,"[1, 1, 2, 5, 5]","[(1, 1), (1, 1), (2, 1), (5, 1), (5, 1)]",360129123050073517479801508772474154465907948553993536117795530793125166964731479919410169944
7,401,3,60*,20,"[1, 2, 2, 4, 5]","[(1, 1), (2, 1), (2, 1), (4, 1), (5, 1)]",298858043940824378224202571541641636278172284231109281390424000
7,409,6,270*,45,"[5, 9]","[(5, 1), (9, 1)]",47100480691611087947191285633006696918070461719544950426440930873571968277288766910093131189375641621817619416803058072581588457309616025473588448797432218672093001291349628655779664561618480342167210800
7,419,2,24*,12,"[4, 4, 6]","[(4, 1), (4, 1), (6, 1)]",902452531383569801129077844852137520893920
7,421,1,30,30,"[1, 2, 5, 6]","[(1, 1), (2, 1), (5, 1), (6, 1)]",175329003232422101723106600
7,431,3,66*,22,"[1, 2, 11]","[(1, 1), (2, 1), (11, 1)]",34685801592849260009441037055753097019787082372692583625493623077404880312973879223334016451440
7,433,2,26*,13,"[1, 13]","[(1, 1), (13, 1)]",176870461711083964830047586063882491087024424420515999954193866396784
7,439,6,72*,12,"[1, 3, 4, 6]","[(1, 1), (3, 1), (4, 1), (6, 1)]",1722808398740692606874439762124834555601783987173853576641948663547719815409304846217934608776216295608138062153484544493148880
7,443,3,36*,12,"[1, 2, 2, 2, 3, 4]","[(1, 1), (2, 1), (2, 1), (2, 1), (3, 1), (4, 1)]",71964088111362683267474792432242424453647095000
7,449,1,30,30,"[1, 3, 10]","[(1, 1), (3, 1), (10, 1)]",6728595398506740010319953300800
7,457,3,108*,36,"[1, 4, 9]","[(1, 1), (4, 1), (9, 1)]",12699034214266561971399827197279655744325640126864000130278689349669335579607280989163534260320
7,461,2,20*,10,"[1, 2, 2, 2, 2, 5]","[(1, 1), (2, 1), (2, 1), (2, 1), (2, 1), (5, 1)]",92132562025711858945167860725200
7,463,1,30,30,"[1, 3, 10]","[(1, 1), (3, 1), (10, 1)]",48627384124890288546577714542192
7,467,6,78*,13,"[1, 13]","[(1, 1), (13, 1)]",4023988147282017107613988745527352911211676477173441292906019584475154535083356554286386010814458794918416861251124178791370396827360623178910032244421526833708204523278723962643658479461356257471506645696102
7,479,6,66*,11,"[1, 1, 1, 11]","[(1, 1), (1, 1), (1, 1), (11, 1)]",798259113322290645151920079126880051094938088562964979770372298601394609160469054040417143072954940635022187905460015845731040238012846323295014798106501349219861039126121056320
7,487,3,36*,12,"[2, 12]","[(2, 1), (12, 1)]",563692950662954992988047000306993365118619793741859457280568438531652048234009779551607575148464
7,491,1,33,33,"[3, 11]","[(3, 1), (11, 1)]",96592811251893442872505524518334970
7,499,3,90*,30,"[1, 3, 10]","[(1, 1), (3, 1), (10, 1)]",205151978833513994410777842190445392842314361480184018286353558458261618246441153851670030397500
