n,p,base_deg,split_deg,lcm_deg,factor_degs,factor_mults,DFT_order
3,389,2,10*,5,"[1, 5]","[(1, 1), (5, 1)]",39670348670729980404930300
3,397,1,4,4,"[2, 4]","[(2, 1), (4, 1)]",24840596880
3,401,2,12*,6,[6],"[(6, 1)]",43003758902946780166084802400
3,409,1,5,5,"[1, 5]","[(1, 1), (5, 1)]",11445019581048
3,419,2,4*,2,"[2, 2, 2]","[(2, 1), (2, 1), (2, 1)]",30821664720
3,421,1,4,4,"[1, 1, 4]","[(1, 1), (1, 1), (4, 1)]",15707186040
3,431,2,12*,6,"[1, 2, 3]","[(1, 1), (2, 1), (3, 1)]",19845829175690979216
3,433,1,3,3,"[1, 1, 1, 3]","[(1, 1), (1, 1), (1, 1), (3, 1)]",27060912
3,439,1,5,5,"[1, 5]","[(1, 1), (5, 1)]",8152533753099
3,443,2,8*,4,"[1, 1, 4]","[(1, 1), (1, 1), (4, 1)]",1483302776945927340000
3,449,2,12*,6,[6],"[(6, 1)]",149191327484904228560612354688
3,457,1,5,5,"[1, 5]","[(1, 1), (5, 1)]",19933382494056
3,461,2,12*,6,[6],"[(6, 1)]",49855047892638621999159717690
3,463,1,6,6,"[1, 2, 3]","[(1, 1), (2, 1), (3, 1)]",529348512
3,467,2,12*,6,[6],"[(6, 1)]",19159116034306495910706196685
3,479,2,12*,6,[6],"[(6, 1)]",23379841967734283922584066436
3,487,1,3,3,"[1, 1, 1, 3]","[(1, 1), (1, 1), (1, 1), (3, 1)]",57750651
3,491,2,12*,6,"[1, 2, 3]","[(1, 1), (2, 1), (3, 1)]",3377954056372425064080
3,499,1,4,4,"[1, 1, 4]","[(1, 1), (1, 1), (4, 1)]",4769346000
4,3,2,16*,8,[8],"[(8, 1)]",1076168
4,5,1,5,5,"[1, 1, 1, 5]","[(1, 1), (1, 2), (5, 1)]",3124
4,7,2,16*,8,[8],"[(8, 1)]",519264540150
4,11,2,14*,7,"[1, 7]","[(1, 1), (7, 1)]",94937458395810
4,13,1,7,7,"[1, 7]","[(1, 1), (7, 1)]",62748516
4,17,1,6,6,"[1, 1, 6]","[(1, 1), (1, 1), (6, 1)]",12068784
4,19,2,16*,8,[8],"[(8, 1)]",3605517669595264596
4,23,2,14*,7,"[1, 7]","[(1, 1), (7, 1)]",241517423427890621
4,29,1,7,7,"[1, 7]","[(1, 1), (7, 1)]",8624938154
4,31,2,20*,10,"[1, 2, 5]","[(1, 1), (2, 1), (5, 1)]",394241206037764800
4,37,1,12,12,"[1, 3, 4]","[(1, 1), (3, 1), (4, 1)]",2636943120
4,41,1,10,10,"[1, 2, 5]","[(1, 1), (2, 1), (5, 1)]",231712400
4,43,2,16*,8,[8],"[(8, 1)]",517477370186788232811800
4,47,2,14*,7,"[1, 7]","[(1, 1), (7, 1)]",256666986187667409334368
4,53,1,8,8,[8],"[(8, 1)]",6225969041136
4,59,2,12*,6,"[1, 1, 6]","[(1, 1), (1, 1), (6, 1)]",444799354559883179220
4,61,1,15,15,"[3, 5]","[(3, 1), (5, 1)]",3195107802900
4,67,2,16*,8,[8],"[(8, 1)]",1212433520266501212468847080
4,71,2,10*,5,"[1, 1, 1, 5]","[(1, 1), (1, 1), (1, 1), (5, 1)]",3255243551009881200
4,73,1,4,4,"[1, 1, 2, 4]","[(1, 1), (1, 1), (2, 1), (4, 1)]",28398240
4,79,2,16*,8,[8],"[(8, 1)]",7192559815925318249417346396
4,83,2,24*,12,"[1, 3, 4]","[(1, 1), (3, 1), (4, 1)]",106905526032140514937440
4,89,1,7,7,"[1, 7]","[(1, 1), (7, 1)]",44231334895528
4,97,1,8,8,[8],"[(8, 1)]",279908342656320
4,101,1,6,6,"[1, 1, 6]","[(1, 1), (1, 1), (6, 1)]",1061520150600
4,103,2,12*,6,"[1, 1, 6]","[(1, 1), (1, 1), (6, 1)]",1425760886846178945447840
4,107,2,12*,6,"[1, 1, 1, 2, 3]","[(1, 1), (1, 1), (1, 1), (2, 1), (3, 1)]",8591681264329800
4,109,1,12,12,"[1, 3, 4]","[(1, 1), (3, 1), (4, 1)]",241803928080
4,113,1,2,2,"[1, 1, 2, 2, 2]","[(1, 1), (1, 1), (2, 1), (2, 1), (2, 1)]",12768
4,127,2,16*,8,[8],"[(8, 1)]",116930589501041013027890344120
4,131,2,24*,12,"[1, 3, 4]","[(1, 1), (3, 1), (4, 1)]",8514508844562732904532640
4,137,1,4,4,"[1, 1, 1, 1, 4]","[(1, 1), (1, 1), (1, 1), (1, 1), (4, 1)]",58712560
4,139,2,14*,7,"[1, 7]","[(1, 1), (7, 1)]",1005095210669462420559310325640
4,149,1,8,8,[8],"[(8, 1)]",121467516374564400
4,151,2,30*,15,"[3, 5]","[(3, 1), (5, 1)]",3204028051362876634874273142000
4,157,1,6,6,"[1, 1, 6]","[(1, 1), (1, 1), (6, 1)]",14976071831448
4,163,2,20*,10,"[1, 2, 5]","[(1, 1), (2, 1), (5, 1)]",175888563821836256448220680
4,167,2,30*,15,"[3, 5]","[(3, 1), (5, 1)]",729077445903157815142429754696
4,173,1,6,6,"[1, 2, 2, 3]","[(1, 1), (2, 1), (2, 1), (3, 1)]",900922584
4,179,2,14*,7,"[1, 7]","[(1, 1), (7, 1)]",34669089309147060571644408257880
4,181,1,6,6,"[1, 1, 6]","[(1, 1), (1, 1), (6, 1)]",1352378012580
4,191,2,14*,7,"[1, 7]","[(1, 1), (7, 1)]",42996900094594155579632727986880
4,193,1,6,6,"[2, 3, 3]","[(2, 1), (3, 1), (3, 1)]",1394676864
4,197,1,7,7,"[1, 7]","[(1, 1), (7, 1)]",11514990476898412
4,199,2,12*,6,"[1, 1, 6]","[(1, 1), (1, 1), (6, 1)]",482110877140160418780329700
4,211,2,30*,15,"[3, 5]","[(3, 1), (5, 1)]",2222488542488055748055624833050
4,223,2,8*,4,"[1, 1, 2, 4]","[(1, 1), (1, 1), (2, 1), (4, 1)]",6115597639891380480
4,227,2,16*,8,[8],"[(8, 1)]",21801123146519370371185030426626632
4,229,1,12,12,"[1, 3, 4]","[(1, 1), (3, 1), (4, 1)]",144848330200080
4,233,1,4,4,"[1, 1, 1, 1, 4]","[(1, 1), (1, 1), (1, 1), (1, 1), (4, 1)]",1473647760
4,239,2,16*,8,[8],"[(8, 1)]",236115869784054618402548496905486392
4,241,1,6,6,"[1, 2, 2, 3]","[(1, 1), (2, 1), (2, 1), (3, 1)]",3387399840
4,251,2,4*,2,"[1, 1, 2, 2, 2]","[(1, 1), (1, 1), (2, 1), (2, 1), (2, 1)]",3969126000
4,257,1,6,6,"[1, 1, 6]","[(1, 1), (1, 1), (6, 1)]",288136807515648
4,263,2,12*,6,"[1, 1, 6]","[(1, 1), (1, 1), (6, 1)]",2808047014739632737792964320
4,269,1,4,4,"[2, 2, 4]","[(2, 1), (2, 1), (4, 1)]",2618057160
4,271,2,16*,8,[8],"[(8, 1)]",311128467598890717565922135158804056
4,277,1,15,15,"[3, 5]","[(3, 1), (5, 1)]",41860826162729364
4,281,1,10,10,"[1, 2, 5]","[(1, 1), (2, 1), (5, 1)]",32937410221520
4,283,2,8*,4,"[2, 2, 4]","[(2, 1), (2, 1), (4, 1)]",20571288196026411120
4,293,1,3,3,"[1, 1, 3, 3]","[(1, 1), (1, 1), (3, 1), (3, 1)]",12576878
4,307,2,12*,6,"[2, 3, 3]","[(2, 1), (3, 1), (3, 1)]",78906287719633374000
4,311,2,8*,4,"[4, 4]","[(4, 1), (4, 1)]",4375756197371464464
4,313,1,8,8,[8],"[(8, 1)]",23030040889246712880
4,317,1,7,7,"[1, 7]","[(1, 1), (7, 1)]",160836583736981786
4,331,2,12*,6,"[2, 6]","[(2, 1), (6, 1)]",288260194230376866752007313560
4,337,1,6,6,"[2, 6]","[(2, 1), (6, 1)]",732401811099504
4,347,2,24*,12,"[1, 3, 4]","[(1, 1), (3, 1), (4, 1)]",72561794394296928847634536080
4,349,1,8,8,[8],"[(8, 1)]",110045786837769963600
4,353,1,6,6,"[1, 2, 2, 3]","[(1, 1), (2, 1), (2, 1), (3, 1)]",409773408
4,359,2,16*,8,[8],"[(8, 1)]",13215655034632178770201513953019706699
4,367,2,14*,7,"[1, 7]","[(1, 1), (7, 1)]",402063736034222602401144429389994864
4,373,1,10,10,"[1, 2, 5]","[(1, 1), (2, 1), (5, 1)]",1350161642088204
4,379,2,14*,7,"[1, 7]","[(1, 1), (7, 1)]",45059971034141734399708409576053110
4,383,2,12*,6,"[1, 2, 2, 3]","[(1, 1), (2, 1), (2, 1), (3, 1)]",1469882429775047168
4,389,1,8,8,[8],"[(8, 1)]",52432046669966469168
4,397,1,4,4,"[1, 1, 2, 4]","[(1, 1), (1, 1), (2, 1), (4, 1)]",12420298440
4,401,1,8,8,[8],"[(8, 1)]",33429123161779424160
4,409,1,7,7,"[1, 7]","[(1, 1), (7, 1)]",957267160268728884
4,419,2,16*,8,[8],"[(8, 1)]",26203615892981707017631951258203484712
4,421,1,6,6,"[1, 1, 6]","[(1, 1), (1, 1), (6, 1)]",5567914722008520
4,431,2,12*,6,"[1, 2, 2, 3]","[(1, 1), (2, 1), (2, 1), (3, 1)]",4443096084109920720
4,433,1,6,6,"[2, 3, 3]","[(2, 1), (3, 1), (3, 1)]",17616653712
4,439,2,30*,15,"[3, 5]","[(3, 1), (5, 1)]",4937141122664924287250823681263669400
4,443,2,8*,4,"[1, 1, 2, 4]","[(1, 1), (1, 1), (2, 1), (4, 1)]",1483302776945927340000
4,449,1,15,15,"[3, 5]","[(3, 1), (5, 1)]",3687166159618435648
4,457,1,6,6,"[1, 1, 6]","[(1, 1), (1, 1), (6, 1)]",4554777899892024
4,461,1,3,3,"[1, 1, 3, 3]","[(1, 1), (1, 1), (3, 1), (3, 1)]",97972180
4,463,2,24*,12,"[1, 3, 4]","[(1, 1), (3, 1), (4, 1)]",48522584216947912021457736989760
4,467,2,24*,12,"[1, 3, 4]","[(1, 1), (3, 1), (4, 1)]",35866029672153381835631014670880
4,479,2,14*,7,"[1, 7]","[(1, 1), (7, 1)]",16736598281267036132942625655884015840
4,487,2,14*,7,"[1, 7]","[(1, 1), (7, 1)]",2638064892526735662197636565355167393
4,491,2,20*,10,"[1, 2, 5]","[(1, 1), (2, 1), (5, 1)]",32721142298865381706226780621800
4,499,2,12*,6,"[2, 6]","[(2, 1), (6, 1)]",238345275364920662780910016494000
5,3,4,80*,20,"[1, 4, 5]","[(1, 1), (4, 1), (5, 1)]",45760558465600
5,7,4,32*,8,"[1, 1, 8]","[(1, 1), (1, 1), (8, 1)]",1104427674243920646305299200
5,11,1,9,9,"[1, 9]","[(1, 1), (9, 1)]",336849670
5,13,4,48*,12,"[1, 2, 3, 4]","[(1, 1), (2, 1), (3, 1), (4, 1)]",180939925334520667312818240
5,17,4,8*,2,"[1, 1, 2, 2, 2, 2]","[(1, 1), (1, 1), (2, 1), (2, 1), (2, 1), (2, 1)]",6975757440
5,19,2,18*,9,"[1, 9]","[(1, 1), (9, 1)]",26031837574477810383210
5,23,4,56*,14,"[1, 2, 7]","[(1, 1), (2, 1), (7, 1)]",37609044904373118585011761154292296003636160
5,29,2,12*,6,"[2, 2, 3, 3]","[(2, 1), (2, 1), (3, 1), (3, 1)]",250420617720
5,31,1,20,20,"[1, 4, 5]","[(1, 1), (4, 1), (5, 1)]",55082484600
5,37,4,32*,8,"[2, 8]","[(2, 1), (8, 1)]",152214200233450528559804138174517974884637692126080
5,41,1,20,20,"[1, 4, 5]","[(1, 1), (4, 1), (5, 1)]",4092272696400
5,43,4,48*,12,"[4, 6]","[(4, 1), (6, 1)]",848336001180488338277987002760914633943845601704800
5,47,4,40*,10,"[1, 1, 1, 2, 5]","[(1, 1), (1, 1), (1, 1), (2, 1), (5, 1)]",13500463513725794727332244957483305116800
5,53,4,36*,9,"[1, 9]","[(1, 1), (9, 1)]",118558120445975157028044470669508269904542112710719750776396720
5,59,2,60*,30,"[2, 3, 5]","[(2, 1), (3, 1), (5, 1)]",21571567738408139218694096400
5,61,1,9,9,"[1, 9]","[(1, 1), (9, 1)]",11694146092834140
5,67,4,32*,8,"[1, 1, 8]","[(1, 1), (1, 1), (8, 1)]",27189028279553414235049966267283185807800188603627566700160
5,71,1,20,20,"[1, 4, 5]","[(1, 1), (4, 1), (5, 1)]",163744638888600
5,73,4,120*,30,"[2, 3, 5]","[(2, 1), (3, 1), (5, 1)]",15106836298081467967174129888003530545139004111317455528400
5,79,2,24*,12,"[1, 1, 1, 3, 4]","[(1, 1), (1, 1), (1, 1), (3, 1), (4, 1)]",4925081735405462598240
5,83,4,24*,6,"[1, 2, 2, 2, 3]","[(1, 1), (2, 1), (2, 1), (2, 1), (3, 1)]",5072820405843871491139433351520
5,89,2,16*,8,"[1, 1, 8]","[(1, 1), (1, 1), (8, 1)]",15496731425178936435099327730560
