1,1,1,1,1,1
7068*a^3 + 4973*a^2 + 4260*a + 10884,2815*a^3 + 5239*a^2 + 3050*a + 11429,6633*a^3 + 3259*a^2 + 7919*a + 144,4456*a^3 + 920*a^2 + 11660*a + 10338,4175*a^3 + 1464*a^2 + 1770*a + 11703,9113*a^3 + 9154*a^2 + 4851*a + 235
6865*a^3 + 7156*a^2 + 5048*a + 4560,3870*a^3 + 5998*a^2 + 9143*a + 3059,9873*a^3 + 6485*a^2 + 7085*a + 6696,2546*a^3 + 3245*a^2 + 4172*a + 7047,11979*a^3 + 7353*a^2 + 5314*a + 10804,2180*a^3 + 3266*a^2 + 3851*a + 12214
2646*a^3 + 705*a^2 + 10428*a + 8663,7480*a^3 + 2990*a^2 + 8494*a + 11924,3079*a^3 + 8353*a^2 + 1688*a + 5249,4640*a^3 + 3762*a^2 + 8417*a + 6438,6551*a^3 + 4649*a^2 + 6074*a + 9544,8276*a^3 + 7490*a^2 + 11835*a + 5213
7317*a^3 + 3321*a^2 + 668*a + 4797,9532*a^3 + 309*a^2 + 3620*a + 3088,6214*a^3 + 3168*a^2 + 4636*a + 7683,8120*a^3 + 2589*a^2 + 9194*a + 11632,6034*a^3 + 9816*a^2 + 586*a + 8578,9925*a^3 + 6844*a^2 + 9715*a + 5467
408*a^3 + 4829*a^2 + 1538*a + 9988,5564*a^3 + 1542*a^2 + 9942*a + 4906,2321*a^3 + 1120*a^2 + 9211*a + 3479,2993*a^3 + 1901*a^2 + 5682*a + 7132,2274*a^3 + 9410*a^2 + 2009*a + 5430,10592*a^3 + 4305*a^2 + 11189*a + 8413
