1,1,0,1,0,0
5*a + 2,3*a + 1,0,2*a + 3,0,0
5*a + 3,3,0,2,0,0
3*a + 1,1,0,1,0,0
3*a + 4,a + 5,0,a + 5,0,0
5,3,0,2,0,0
